"Statistic Measure","Naive Bayes","KNN","SVM","Random Forest","My Method - SVM"
"CV Accuracy","0.94 (+/- 0.01)","0.93 (+/- 0.01)","0.95 (+/- 0.01)","0.93 (+/- 0.01)","0.97 (+/- 0.01)"
"Accuracy, Fold-1","0.93 (+/- 0.03)","0.91 (+/- 0.03)","0.94 (+/- 0.04)","0.88 (+/- 0.06)","0.95 (+/- 0.03)"
"Accuracy, Fold-2","0.94 (+/- 0.02)","0.92 (+/- 0.04)","0.95 (+/- 0.04)","0.89 (+/- 0.07)","0.96 (+/- 0.03)"
"Accuracy, Fold-3","0.92 (+/- 0.04)","0.92 (+/- 0.06)","0.93 (+/- 0.04)","0.87 (+/- 0.06)","0.94 (+/- 0.04)"
"Accuracy, Fold-4","0.93 (+/- 0.05)","0.91 (+/- 0.05)","0.94 (+/- 0.05)","0.88 (+/- 0.05)","0.94 (+/- 0.05)"
"Accuracy, Fold-5","0.94 (+/- 0.04)","0.92 (+/- 0.06)","0.95 (+/- 0.05)","0.88 (+/- 0.05)","0.96 (+/- 0.04)"
"Accuracy, Fold-6","0.92 (+/- 0.04)","0.90 (+/- 0.05)","0.94 (+/- 0.02)","0.87 (+/- 0.03)","0.95 (+/- 0.03)"
"Accuracy, Fold-7","0.94 (+/- 0.05)","0.92 (+/- 0.05)","0.95 (+/- 0.04)","0.90 (+/- 0.02)","0.96 (+/- 0.04)"
"Accuracy, Fold-8","0.93 (+/- 0.04)","0.91 (+/- 0.05)","0.94 (+/- 0.04)","0.88 (+/- 0.05)","0.95 (+/- 0.03)"
"Accuracy, Fold-9","0.92 (+/- 0.05)","0.92 (+/- 0.04)","0.93 (+/- 0.05)","0.86 (+/- 0.03)","0.95 (+/- 0.04)"
"Accuracy, Fold-10","0.93 (+/- 0.04)","0.91 (+/- 0.04)","0.93 (+/- 0.03)","0.88 (+/- 0.06)","0.95 (+/- 0.04)"
"ROC","0.99","0.98","0.99","0.98","1.00"
